Date,Close,High,Low,Open,Volume,Log_Return,Simple_Return,Log_Return_pct
2023-03-14,17043.30078125,17224.650390625,16987.099609375,17160.55078125,290600,-0.006491706128142258,-0.006470680525861194,-0.6491706128142258
2023-03-15,16972.150390625,17211.349609375,16938.900390625,17166.44921875,248200,-0.004183422059139645,-0.004174683738684903,-0.4183422059139645
2023-03-16,16985.599609375,17062.44921875,16850.150390625,16994.650390625,349800,0.0007921148752918237,0.0007924286811309411,0.07921148752918238
2023-03-17,17100.05078125,17145.80078125,16958.150390625,17111.80078125,408100,0.0067155298897271865,0.006738129621978839,0.6715529889727186
2023-03-20,16988.400390625,17066.599609375,16828.349609375,17066.599609375,241800,-0.006550651968001941,-0.0065292432199922645,-0.6550651968001941
2023-03-21,17107.5,17127.69921875,17016.0,17060.400390625,246700,0.006986182644570191,0.007010642946744028,0.6986182644570191
2023-03-22,17151.900390625,17207.25,17107.849609375,17177.44921875,0,0.002592013577443892,0.0025953757489405316,0.2592013577443892
2023-03-23,17076.900390625,17205.400390625,17045.30078125,17097.400390625,219200,-0.0043822814890137705,-0.004372693304643627,-0.43822814890137707
2023-03-24,16945.05078125,17109.44921875,16917.349609375,17076.19921875,228000,-0.007750894050448838,-0.007720933328590696,-0.7750894050448838
2023-03-27,16985.69921875,17091.0,16918.55078125,16984.30078125,218400,0.002395965721106003,0.0023988383407489433,0.2395965721106003
2023-03-28,16951.69921875,17061.75,16913.75,17031.75,238800,-0.0020036899079230227,-0.002001683861354908,-0.20036899079230228
2023-03-29,17080.69921875,17126.150390625,16940.599609375,16977.30078125,345900,0.0075810476927372725,0.007609856589321451,0.7581047692737273
2023-03-31,17359.75,17381.599609375,17204.650390625,17210.349609375,263900,0.016205182818433635,0.016337198944623932,1.6205182818433634
2023-04-03,17398.05078125,17428.05078125,17312.75,17427.94921875,230200,0.002203867672376198,0.002206297973761151,0.2203867672376198
2023-04-05,17557.05078125,17570.55078125,17402.69921875,17422.30078125,248300,0.00909744726853034,0.009138954817361267,0.909744726853034
2023-04-06,17599.150390625,17638.69921875,17502.849609375,17533.849609375,242700,0.002395004471214228,0.002397874785437182,0.2395004471214228
2023-04-10,17624.05078125,17694.099609375,17597.94921875,17634.900390625,254800,0.0014138632460749291,0.0014148632219350699,0.1413863246074929
2023-04-11,17722.30078125,17748.75,17655.150390625,17704.80078125,304300,0.005559286811614234,0.005574768321964241,0.5559286811614235
2023-04-12,17812.400390625,17825.75,17717.25,17759.55078125,232800,0.005071088231309614,0.005083967961446945,0.5071088231309614
2023-04-13,17828.0,17842.150390625,17729.650390625,17807.30078125,285800,0.0008753891763391581,0.0008757724412713497,0.0875389176339158
2023-04-17,17706.849609375,17863.0,17574.05078125,17863.0,357400,-0.00681870678285114,-0.006795512150830185,-0.6818706782851139
2023-04-18,17660.150390625,17766.599609375,17610.19921875,17766.599609375,258900,-0.0026408372714739102,-0.0026373533282438855,-0.26408372714739103
2023-04-19,17618.75,17666.150390625,17579.849609375,17653.349609375,281500,-0.0023470351496987078,-0.002344283016240789,-0.23470351496987077
2023-04-20,17624.44921875,17684.44921875,17584.349609375,17638.599609375,215100,0.00032342232975522987,0.0003234746363958152,0.03234223297552299
2023-04-21,17624.05078125,17663.19921875,17553.94921875,17639.75,230200,-2.260734499433094e-05,-2.260708945023282e-05,-0.002260734499433094
2023-04-24,17743.400390625,17754.5,17612.5,17707.55078125,255700,0.006749146939408538,0.006771973756565242,0.6749146939408538
